醫事機構代碼,醫事機構名稱,特約類別,電話,地址
5946010256,健康大藥局,藥局,089-347049,９５０台東市新生路４８９號
3503230067,翔新診所,診所,04-22110707,中市東區十甲東路768、768-1、768-2、768-3號及東英17街167-3號
9417010291,台宗醫事檢驗所,檢驗所,04-22223216,台中中區大墩里三民路２段５９號
5917010046,大協藥局,藥局,04-22250745,台中巿中區中山路１２４號
5917080137,日盛藥局,藥局,04-24360810,台中巿北屯區三光里東山路一段１３８２號
5917080548,志誠藥局,藥局,04-24225682,台中巿北屯區仁美里豊樂路３２９號
5917080342,弘光藥局,藥局,04-22342999,台中巿北屯區太原路三段４５８號１樓
7417081047,春暉居家護理所,居家護理,04-22378557,台中巿北屯區北屯里太原路三段１６１號３F之６
5917080119,李藥局,藥局,04-22390950,台中巿北屯區和順路３９８號
3517052295,陳憲章婦產科診所,診所,04-22054022,"台中巿北區中清路１段 ２１９號１樓"
5917050433,松鶴藥局,藥局,04-22028790,台中巿北區文莊里篤行路２２４號
5917050540,瑞昌藥局,藥局,04-22056819,台中巿北區邱厝里學士路１５３１號
5917050719,百鴻藥局,藥局,04-22336330,台中巿北區金龍里北屯路１３１號
3517052017,林國卿診所,診所,04-22037582,台中巿北區健行里民權路４７７號
5917050666,大祥藥局,藥局,04-22035103,台中巿北區淡溝里民權路４０３號
3517052384,陳至興耳鼻喉科診所,診所,04-22374936,台中巿北區進化路６６３號
5917050488,一生藥局,藥局,04-22116285,台中巿北區精武路２１０號
5917060359,明達藥局,藥局,04-23137079,台中巿西屯區何厝里青海路一段１７號
5917060215,乾元藥局,藥局,04-24511815,台中巿西屯區逢甲里西屯路二段２８２１９號
5917060108,博新藥局,藥局,04-23583412,台中巿西屯區福安里中工三路２２０號
5917030388,富永藥局,藥局,04-23714681,台中巿西區三民西路１６１號
5917030100,裕源藥局,藥局,04-23763133,台中巿西區公館里南屯路一段６６７號一樓
5917030146,新永富藥局,藥局,04-23766127,台中巿西區吉龍里美村路一段６７０號
3517031410,丁鴻志婦產科診所,診所,04-23207082,台中巿西區臺灣大道２段１８１號３樓
5917020202,一心藥局,藥局,04-23609012,台中巿東區合作里力行路４２１號
5917020097,泰興藥局,藥局,04-22112537,台中巿東區東南里十甲路１１１號
5917020211,何藥局,藥局,04-23604631,台中巿東區東勢里精武路１８０號
