id,許可證字號,動物用藥品名稱,英文名稱,業者名稱,有效期間,官方網址
100021,動物藥製字第00021號,新城雞瘟雞傳染性支氣管炎混合疫苗（國光）,,國光血清疫苗製造股份有限公司,"至79年05月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00021
100022,動物藥製字第00022號,雞傳染性支氣管炎（不活化）疫苗（國光）,,國光血清疫苗製造股份有限公司,"至79年05月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00022
100024,動物藥製字第00024號,家禽霍亂菌苗,,國光血清疫苗製造股份有限公司,"至79年05月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00024
100025,動物藥製字第00025號,乾燥穿刺用雞痘活毒疫苗,,國光血清疫苗製造股份有限公司,"至79年05月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00025
100026,動物藥製字第00026號,新城雞瘟（不活化）疫苗,,國光血清疫苗製造股份有限公司,"至79年05月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00026
100028,動物藥製字第00028號,新城雞瘟組織培養乾燥疫苗溶解液,,國光血清疫苗製造股份有限公司,"至79年05月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00028
100029,動物藥製字第00029號,乾燥新城雞瘟活毒疫苗Ｂ１,,國光血清疫苗製造股份有限公司,"至79年05月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00029
100031,動物藥製字第00031號,雞傳染性支氣管炎雞傳染性鼻炎（雞可利查）混合疫苗,,國光血清疫苗製造股份有限公司,"至79年05月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00031
100032,動物藥製字第00032號,雞傳染性鼻炎不活化菌苗（可利查菌苗”國光”）,,國光血清疫苗製造股份有限公司,"至79年05月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00032
100033,動物藥製字第00033號,ＢＰＬ不活化新城雞瘟疫苗（國光）,,國光血清疫苗製造股份有限公司,"至79年05月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00033
100147,動物藥製字第00147號,”動物用”配尼黴素Ｓ軟膏,,中國化學製藥股份有限公司台中工廠,"至87年05月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00147
100148,動物藥製字第00148號,催產素注射液,"OXYTOCIN INJECTION",中國化學製藥股份有限公司台南官田工廠,至108年05月01日止,http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00148
100149,動物藥製字第00149號,"哥娜 500 注射劑","GONA-500 INJECTION",中國化學製藥股份有限公司台南官田廠,至108年05月01日止,http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00149
100151,動物藥製字第00151號,萬靈素軟膏,,中國化學製藥股份有限公司台南官田工廠,至108年05月01日止,http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00151
100152,動物藥製字第00152號,特維他注射液,"TRIVITA INJECTION FOR VETERINARY",中國化學製藥股份有限公司台南官田廠,至108年05月01日止,http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00152
100157,動物藥製字第00157號,”動物用”配尼聖軟膏,,中國化學製藥股份有限公司台中工廠,"至87年05月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00157
100158,動物藥製字第00158號,"氯黴素 L 注射液","KEROSOL INJECTION",中國化學製藥股份有限公司新豐工廠,(已失效),http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00158
100160,動物藥製字第00160號,"新感冒靈 S 注射液","NEO-COLDENIN S INJ. FOR VETERINARY",中國化學製藥股份有限公司台南官田廠,至108年05月01日止,http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00160
100164,動物藥製字第00164號,”動物用”雅黴素散,,中國化學製藥股份有限公司台南官田廠,"至81年05月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00164
100165,動物藥製字第00165號,油性伊絲達蒙注射液,,中國化學製藥股份有限公司台南官田工廠,至108年05月01日止,http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=00165
101587,動物藥製字第01587號,鹽酸羥四環素注射液,"OXYTETRACYCLINE INJ.",天穗製藥有限公司,至108年10月01日止,http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=01587
101588,動物藥製字第01588號,"美致奧寧B注射液""青葉""","METHIONINE B INJ. ""G.L.""",天穗製藥有限公司,至108年10月01日止,http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=01588
101589,動物藥製字第01589號,須兒匹林注射液”青葉”,,天穗製藥有限公司,至108年10月01日止,http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=01589
101590,動物藥製字第01590號,"立刻爽注射液""青葉""","DEXASONE INJ. ""G.L.""",天穗製藥有限公司,至108年10月01日止,http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=01590
101591,動物藥製字第01591號,"速新黴素注射液""青葉""","SPIRAMYCIN INJ. ""G.L.""",天穗製藥有限公司,至108年10月01日止,http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=01591
101592,動物藥製字第01592號,利滅得淨注射液”青葉”,,青葉化學廠有限公司,"至77年10月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=01592
101593,動物藥製字第01593號,泰和黴素注射液”青葉”,,青葉化學廠有限公司,"至77年10月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=01593
101595,動物藥製字第01595號,新禽聖,,太平洋製藥股份有限公司,"至77年08月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=01595
101596,動物藥製字第01596號,強力禽聖,,太平洋製藥股份有限公司,"至79年08月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=01596
101604,動物藥製字第01604號,強力肥,,太平洋製藥股份有限公司,"至81年08月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=1&k2=01604
205011,動物藥入字第05011號,意華馬立克活毒疫苗,IVAMAREK,永照股份有限公司,"至88年02月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=2&k2=05011
205012,動物藥入字第05012號,維速必,VI-SORBITS,台灣世康美強股份有限公司,"至82年02月01日止
                    (已失效)",http://amdrug.baphiq.gov.tw/Animal/MedLicContent.aspx?k1=2&k2=05012
