藥品分類分組名稱,醫令申報數量
"BECLOMETHASONE , 口鼻噴霧/吸入劑 , 50.00 MCG",190568
"CARBENOXOLONE , 口內膏 , 20.00  MG/GM , 5.00 GM",1121
"CHLORHEXIDINE , 外用液劑 , 2.00  MG/ML , 200.00 ML",327499
"CHLOROPHYLL SODIUM COPPER , 一般錠劑膠囊劑 , 25.00 MG",39869
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 1.00 GM",14610
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 2.00 GM",35397
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 5.00 GM",167100
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 8.00 GM",243
"EPINEPHRINE , 外用液劑 , 1.00  MG/ML , 1.00 ML",169808
"TRIAMCINOLONE , 外用錠劑 , 25.00 MCG",5443
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 1.00 GM",35406
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 3.00 GM",36456
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 3.50 GM",37879
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 5.00 GM",247197
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 6.00 GM",4592
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 10.00 GM",133
"SCOPOLIA EXTRACT 3MG + ALUMINUM HYDROXIDE DRIED GEL 50MG + CALCIUMCARBONATE 50MG + CHLOROPHYLL SODIUM COPPER 1MG + VITAMIN U(METHYLMETHIONINE SULFONIUM CHLORIDE) 25MG + ALUMINUM SILICATE 100MG, 一般錠劑膠囊劑",55550
"ALUMINUM CHLORHYDROXYALLANTOINATE (=ALCOXA) , 一般錠劑膠囊劑 , 100.00 MG",50862
"ALUMINUM DIHYDROXYALLANTOINATE 50MG + ALUMINUM MAGNESIUM SILICATE 450MG,一般錠劑膠囊劑,",66262025
"ALUMINUM DIHYDROXYALLANTOINATE 100MG/GM + ALUMINUM MAGNESIUM SILICATE100MG/GM, 口服顆粒劑, 1.00GM",599
"ALUMINUM HYDROXIDE DRIED GEL 42.65MG + BENACTYZINE METHOBROMIDE 5MG +MAGNESIUM ALUMINUM HYDROXIDE CO-DRIED GEL 175.95MG + MUCIN GASTRIC 5MG, 一般錠劑膠囊劑,",19834191
"ALUMINUM DIHYDROXYALLANTOINATE (=ALDIOXA) , 一般錠劑膠囊劑 , 100.00 MG",18569016
"DIMETHICONE 4MG + ALUMINUM HYDROXIDE 230MG, 一般錠劑膠囊劑,",81468
"ALUMINUM HYDROXIDE 6.3MG/ML + MAGNESIUM CARBONATE 27.47MG/ML, 內服液劑,15.00ML",6
"ALUMINUM HYDROXIDE 36MG/ML + MAGNESIUM HYDROXIDE 30MG/ML, 內服液劑,200.00ML",11287
"ALUMINUM HYDROXIDE 200MG + MAGNESIUM HYDROXIDE 200MG, 一般錠劑膠囊劑,",98619
"ALUMINUM HYDROXIDE 230MG + MAGNESIUM HYDROXIDE 85MG, 一般錠劑膠囊劑,",1309893
"ALUMINUM HYDROXIDE 50MG/ML + MAGNESIUM TRISILICATE 100MG/ML, 內服液劑,120.00ML",3
"ALUMINUM HYDROXIDE 250MG + MAGNESIUM TRISILICATE 500MG, 一般錠劑膠囊劑,",585059
"ALUMINUM HYDROXIDE 120MG/ML + MAGNESIUM HYDROXIDE 60MG/ML, 內服液劑, 8.00ML",124858
"ALUMINUM HYDROXIDE 240MG/ML + MAGNESIUM HYDROXIDE 40MG/ML, 內服液劑, 1.00ML",5707317
"ALUMINUM HYDROXIDE 334MG + MAGNESIUM HYDROXIDE 166MG, 一般錠劑膠囊劑,",69700611
"ALUMINUM HYDROXIDE 250MG + CALCIUM PHOSPHATE TRIBASIC 2.5MG + MAGNESIUMTRISILICATE 500MG, 一般錠劑膠囊劑,",172903
"ALUMINUM HYDROXIDE 300MG/GM + MAGNESIUM TRISILICATE 396MG/GM + MUCINGASTRIC 260MG/GM, 口服顆粒劑, 1.00GM",4855
"ALUMINUM HYDROXIDE 45MG/ML + CALCIUM CARBONATE 50MG/ML + MAGNESIUMHYDROXIDE 40MG/ML, 內服液劑, 60.00ML",4276
"ALUMINUM HYDROXIDE 260MG + MAGNESIUM HYDROXIDE 130MG + MAGNESIUMTRISILICATE 455MG, 一般錠劑膠囊劑,",1557687
"ALUMINUM HYDROXIDE 30MG + MAGNESIUM CARBONATE 40MG + ALGINIC ACID 200MG,一般錠劑膠囊劑,",21214290
"ALUMINUM HYDROXIDE 400MG + ALUMINUM SILICATE 100MG + MAGNESIUM OXIDE 140MG+ HISTIDINE 20MG, 一般錠劑膠囊劑,",350537
"PHENOBARBITAL 8.1MG + HOMATROPINE METHYLBROMIDE 1.8mg + ALUMINUMHYDROXIDE DRIED GEL 243MG + MAGNESIUM TRISILICATE&nbsp;81MG, 一般錠劑膠囊劑",8275
"ALUMINUM HYDROXIDE DRIED GEL 250MG + MAGNESIUM TRISILICATE 500MG +COUMARIN*3% + PEPPERMINT OIL*97% ,一般錠劑膠囊劑",26650321
"ALUMINUM HYDROXIDE , 一般錠劑膠囊劑 , 233.00 MG",8486850
"ALUMINUM HYDROXIDE , 一般錠劑膠囊劑 , 300.00 MG",1983026
"ALUMINUM HYDROXIDE , 一般錠劑膠囊劑 , 324.00 MG",2973524
"ALUMINUM HYDROXIDE , 一般錠劑膠囊劑 , 325.00 MG",320349
"ALUMINUM HYDROXIDE , 內服液劑 , 40.00  MG/ML , 1.00 ML",990252
"ALUMINUM HYDROXIDE , 內服液劑 , 40.00  MG/ML , 18.00 ML",20082
"ALUMINUM HYDROXIDE , 內服液劑 , 40.00  MG/ML , 100.00 ML",2548
"ALUMINUM HYDROXIDE , 內服液劑 , 40.00  MG/ML , 473.00 ML",558
"ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE 177.5MG/ML + MAGNESIUMHYDROXIDE 30MG/ML, 內服液劑, 500.00ML",12953
"ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE 240MG/ML + MAGNESIUMHYDROXIDE 133.2MG/ML, 內服液劑, 1.00ML",1793627
"ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE 240MG/ML + MAGNESIUMHYDROXIDE 133.2MG/ML, 內服液劑, 500.00ML",1089819
"ALUMINUM HYDROXIDE GEL 125MG+MAGNESIUM CARBONATE 125MG+BELLADONNAEXTRACT 6MG+PROPANTHELINE BROMIDE 12.5MG+PHENOBARBITAL 10MG,一般錠劑膠囊劑",24
"ALUMINUM MAGNESIUM SILICATE 147MG + CHLOROPHYLL SODIUM COPPER 0.5MG +GLYCINE 10MG + GLYCYRRHIZIC ACID 35MG + MAGNESIUM CARBONAT 10MG +PIPERIDOLATE 1.5MG, 一般錠劑膠囊劑,",1498425
"ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE, 一般錠劑膠囊劑,",93746
"ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE , 一般錠劑膠囊劑 , 200.00 MG",4788816
"ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE , 一般錠劑膠囊劑 , 500.00 MG",62746918
"ALUMINUM SILICATE 845MG + GLYCYRRHIZIC ACID 150MG, 口服顆粒劑,",15177
"ALUMINUM PHOSPHATE , 一般錠劑膠囊劑 , 400.00 MG",436821
"ALUMINUM PHOSPHATE , 一般錠劑膠囊劑 , 500.00 MG",14079771
"ALUMINUM PHOSPHATE , 內服液劑 , 20.00 ML",158141
"ALUMINUM PHOSPHATE , 內服液劑 , 110.00  MG/ML , 1.00 ML",8375
"ALUMINUM PHOSPHATE , 內服液劑 , 110.00  MG/ML , 240.00 ML",285
"ALUMINUM PHOSPHATE , 內服液劑 , 130.00  MG/ML , 20.00 ML",106228
"ALUMINUM PHOSPHATE , 內服液劑 , 199.12  MG/ML , 20.00 ML",110
"ALUMINUM SILICATE , 口服顆粒劑 , 1.00 GM",120
"ATROPINE 10MCG/ML + GELSEMINE 80MCG/ML, 注射劑, 1.00ML",91
"AZULENE , 一般錠劑膠囊劑 , 2.00 MG",18710124
"AZULENE , 一般錠劑膠囊劑 , 20.00 MG",99
"AZULENE , 口服顆粒劑 , 10.00 MG",7090
"GUAIAZULENE SODIUM SULFONATE 2MG+SODIUM BICARBONATE 20MG,一般錠劑膠囊劑",6119
"BENACTYZINE 10MG + ALUMINUM HYDROXIDE 100MG + CHLOROPHYLLIN 1MG, 一般錠劑膠囊劑,",129277
"BISMUTH SUBCARBONATE , 一般錠劑膠囊劑 , 324.00 MG",3511921
"BISMUTH SUBCITRATE or BISMUTH SUBNITRATE , 一般錠劑膠囊劑 , 300.00 MG",316985
"BUTINOLIN 2MG + ALUMINUM HYDROXIDE 200MG + CALCIUM CARBONATE 300MG, 一般錠劑膠囊劑,",9348042
"BUTINOLIN 2MG + BISMUTH SUBNITRATE 150MG + CALCIUM CARBONATE 600MG, 一般錠劑膠囊劑,",604957
"CARBENOXOLONE , 一般錠劑膠囊劑 , 50.00 MG",256908
"CETRAXATE , 一般錠劑膠囊劑 , 100.00 MG",17575
"CETRAXATE , 一般錠劑膠囊劑 , 200.00 MG",21267
"CIMETIDINE , 一般錠劑膠囊劑 , 200.00 MG",24669427
"CIMETIDINE , 一般錠劑膠囊劑 , 300.00 MG",15655187
"CIMETIDINE , 一般錠劑膠囊劑 , 400.00 MG",3044416
"CIMETIDINE , 一般錠劑膠囊劑 , 800.00 MG",3208
"CIMETIDINE , 口服液劑 , 20.00  MG/ML , 1.00 ML",28525
"CIMETIDINE , 口服液劑 , 20.00  MG/ML , 10.00 ML",9
"CIMETIDINE , 口服液劑 , 20.00  MG/ML , 15.00 ML",5530
"CIMETIDINE , 注射劑 , 200.00 MG",364655
"CIMETIDINE , 注射劑 , 300.00 MG",101531
