藥品分類分組名稱,醫令申報數量
"BECLOMETHASONE , 口鼻噴霧/吸入劑 , 50.00 MCG",216192
"CARBENOXOLONE , 口內膏 , 20.00  MG/GM , 5.00 GM",7537
"CHLORHEXIDINE , 外用液劑 , 2.00  MG/ML , 200.00 ML",390960
"CHLOROPHYLL SODIUM COPPER , 一般錠劑膠囊劑 , 25.00 MG",7164
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 1.00 GM",57113
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 2.00 GM",63829
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 5.00 GM",242565
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 8.00 GM",1002
"EPINEPHRINE , 外用液劑 , 1.00  MG/ML , 1.00 ML",419376
"TRIAMCINOLONE , 外用錠劑 , 25.00 MCG",16757
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 1.00 GM",69395
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 3.00 GM",2840
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 3.50 GM",63345
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 5.00 GM",299574
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 6.00 GM",47673
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 10.00 GM",69
"ALUMINUM CHLORHYDROXYALLANTOINATE (=ALCOXA) , 一般錠劑膠囊劑 , 100.00 MG",5677
"ALUMINUM DIHYDROXYALLANTOINATE 50MG + ALUMINUM MAGNESIUM SILICATE 450MG,一般錠劑膠囊劑,",95805537
"ALUMINUM DIHYDROXYALLANTOINATE 100MG/GM + ALUMINUM MAGNESIUM SILICATE100MG/GM, 口服顆粒劑, 1.00GM",1568
"ALUMINUM DIHYDROXYALLANTOINATE (=ALDIOXA) , 一般錠劑膠囊劑 , 100.00 MG",17241907
"ALUMINUM HYDROXIDE 30MG + MAGNESIUM CARBONATE 40MG + ALGINIC ACID 200MG,一般錠劑膠囊劑,",30052996
