機構名稱,機構電話,機構地址
美兆診所,77251177,臺北市中正區忠孝西路1段66號44.45樓
美診所,33224633,臺北市中正區新生南路1段56號4樓
星采診所,02-23671789,臺北市中正區羅斯福路二段116號、116號2樓、116號5樓、116號2樓之1
日明耀診所,02-23611190,臺北市中正區重慶南路一段58號3樓
永愉診所,23218799,臺北市中正區忠孝東路1段54號3樓
長春藤台北忠孝診所,66309918,臺北市中正區忠孝西路1段50號27樓
星和診所,23887778,臺北市中正區館前路2號6樓之1
匯安診所,23637588,臺北市中正區和平西路一段20號5樓
悅心診所,,臺北市中正區羅斯福路2段7之2號、7之3號
達仁診所,23940006,臺北市中正區信義路2段173、171、171之1、165號
美麗新診所,23898822,臺北市中正區重慶南路1段43號2樓之1、2樓之2
台北諾貝爾眼科診所,27305666,臺北市中正區公園路13號5樓
靚白天使時尚美學診所,23885860,臺北市中正區重慶南路1段13號9樓
翔美時尚整形外科診所,23141998,臺北市中正區忠孝西路1段6號13樓
康聯診所,21922989,臺北市中正區忠孝東路1段54號2樓、3樓，54之2號
時尚診所,23121333,臺北市中正區忠孝西路1段33號10樓
雅偲站前皮膚科診所,27600009,臺北市中正區館前路2號6樓 
米蘭時尚診所,23222298,臺北市中正區忠孝東路1段43號、45號、45號2樓之1、45號2樓之2、45號2樓之3、45號2樓之5、47號、47之1號
亞漾仁愛整形外科診所,23581777,臺北市中正區仁愛路2段3號、3號2樓、23號2樓
艾睿克美麗生活診所,23587100,臺北市中正區仁愛路2段92巷7號
雅典娜時尚診所,02-23704938,臺北市中正區衡陽路34號
溫亞診所,23584858,臺北市中正區忠孝東路2段126號
想德美診所,23960607,臺北市中正區信義路2段211號（實際營業地址1、2、3樓）
君綺美麗診所,23110588,臺北市中正區忠孝西路一段6號13樓 
宏孕診所,25681269,臺北市中正區新生南路1段56號14、15樓
好萊塢診所,23610600,臺北市中正區南陽街3號3樓之3、3樓之4
人間診所,23216789,臺北市中正區新生南路1段54巷9號
大安皮膚專科診所,23581115,臺北市中正區信義路2段281號、281號2樓
光澤晶漾診所,23888801,臺北市中正區館前路18號6樓
紹毅內兒科診所,223930791,臺北市中正區八德路一段５０．５２號
劉瑞聰診所,223038125,臺北市中正區汀州路一段１９４號
孫睿亮醫師診所,223926233,臺北市中正區金山南路一段１２１號
鄭文宗耳鼻喉科診所,223917458,臺北市中正區信義路二段２６７號
古亭中心耳鼻喉科診所,223064652,臺北市中正區中華路二段１６１號
林診所,223921100,臺北市中正區寧波東街２２號
朱小兒科診所,223651810,臺北市中正區汀州路二段２２０號１樓
雙合耳鼻喉科聯合診所,223055690,臺北市中正區汀州路一段５５號一樓
蘇耳鼻喉科診所,223681084,臺北市中正區廈門街１０６之１號
張孟源內科診所,223098600,臺北市中正區中華路二段３２５號
周正成小兒科診所,223516830,臺北市中正區台北市忠孝東路２段２２號１樓
丞泰耳鼻喉科診所,23973668,臺北市中正區南昌路一段７８號
蕭耳鼻喉科診所,2  3653284,臺北市中正區汀州路二段二六一號
彭內科診所,223675690,臺北市中正區廈門街三十五號
車參聖整形外科診所,23885238,臺北市中正區重慶南路一段13號6樓、7樓
池振坤耳鼻喉科診所,23972684,臺北市中正區南昌路一段六十五號一樓
劉家庭醫學科診所,23416666,臺北市中正區杭州南路一段一四五號一、二樓
柯滄銘婦產科診所,33933939,臺北市中正區林森南路十號一樓
蕙瑛婦產科診所,23886731,臺北市中正區忠孝西路一段五十號二十四樓之二十四
林超群眼科診所,02-23122020,臺北市中正區重慶南路一段143號2樓
博士眼科診所,02-23943005,臺北市中正區羅斯福路二段70號4樓之6
亞洲皮膚科診所,223110118,臺北市中正區中華路二段６５號
林小兒科內科診所,223311152,臺北市中正區沅陵街２６之２號
敦智內科診所,223613587,臺北市中正區懷寧街１９號
吉星診所,223911907,臺北市中正區青島東路４－５號１樓
臺北市立聯合醫院附設精神科門診,33936779,臺北市中正區金山南路一段五號一、二樓
臺北市立聯合醫院附設中正門診部,02 23210168,臺北市中正區牯嶺街２４號
國軍台北門診中心附設民眾診療服務處,223912630,臺北市中正區紹興南街七號
國防部醫務室,23117070,臺北市中正區博愛路一六四號二樓
新光牙醫診所,223516562,臺北市中正區寧波西街６５號
信治牙科診所,223919843,臺北市中正區林森南路１４０號２Ｆ
清河牙醫診所,223941936,臺北市中正區信義路二段６３號二樓
逢生牙醫診所,02 23948543,臺北市中正區南昌路一段三十七號二樓
三民牙醫診所,223687108,臺北市中正區汀州路二段３０號
名華牙醫診所,223076017,臺北市中正區汀州路一段２３６號
林啟琮牙科診所,223113623,臺北市中正區襄陽路４３號
同泰牙醫診所,223678212,臺北市中正區汀州路二段１４７號２樓
康平牙醫診所,223914452,臺北市中正區金山南路一段１２５－２號
尚義牙醫診所,223711832,臺北市中正區懷寧街６２號２Ｆ２０２室
新欣牙醫診所,02-23417513,臺北市中正區濟南路二段65號2樓
幸安牙醫診所,223969631,臺北市中正區杭州南路一段１４３巷３２－２號１樓
鴻仁牙科診所,223212698,臺北市中正區廈門街１１２號２Ｆ
美齒牙醫診所,223311168,臺北市中正區永綏街６號
鐘牙醫診所,223033035,臺北市中正區重慶南路三段４０號
黃長榮牙醫診所,223315946,臺北市中正區衡陽路８４號二樓
聯合牙醫診所,223414286,臺北市中正區南昌街一段７４巷１３號
名家牙醫診所,223411474,臺北市中正區忠孝東路二段１３４巷２２號
志明牙醫診所,223968925,臺北市中正區寧波西街８０號
思源牙醫診所,23644980,臺北市中正區南昌路二段200號4樓
禾馨婦產科診所,23612323,臺北市中正區懷寧街78號、78號2樓
尚志塾遠絡診所,23973807,臺北市中正區仁愛路二段74之2號
君綺麗群診所,23708833,臺北市中正區忠孝西路1段6號4樓
站前悠美診所,23891213,臺北市中正區館前路8號9樓
華山恒生診所,23922268,臺北市中正區紹興北街3號4樓
站前美麗爾診所,23149191,臺北市中正區公園路32號3樓
慕顏時尚美學診所,23826480,臺北市中正區衡陽路7號14樓
祐慈診所,7729,臺北市中正區信義路二段91號2樓
渾然天成診所,23883188,臺北市中正區忠孝西路1段45號3樓
幸福時尚診所,23884099,臺北市中正區忠孝西路1段45號3樓
幸福時光診所,23121666,臺北市中正區忠孝西路1段45號3樓
唐鈺診所,223814000,臺北市中正區中山北路1段2號4樓400室
惠生診所,02-23944488,臺北市中正區臨沂街69之1號
古亭龍生診所,223010397,臺北市中正區汀州路一段１７４號
王英明診所,223027720,臺北市中正區中華路二段１５９號
羅綺皮膚科診所,02-23952602,臺北市中正區濟南路一段7號4樓
戰痘診所,223756013,臺北市中正區襄陽路３號5Ｆ
同泰診所,223678511,臺北市中正區汀州路二段１３６號
親子診所,223058122,臺北市中正區和平西路二段５０號
公館聯合診所,223688730,臺北市中正區汀州路三段２７７號
惠恩診所,02 23919572,臺北市中正區濟南路二段四十八巷三至二號
吳小兒科診所,223031665,臺北市中正區寧波西街９６號
德全診所,02-23911322，23620555,臺北市中正區杭州南路一段１３１巷４之１號地下樓
李相台診所,23911378,臺北市中正區新生南路一段１４８號２樓之１
長虹診所,23122266,臺北市中正區公園路十三號一、二、四樓，地下一樓
蔡明勳診所,23560850,臺北市中正區羅斯福路二段４０號１樓
劉秉誠診所,23567373,臺北市中正區新生南路一段五十二之三號一樓
美美潘朵拉診所,236819628,臺北市中正區汀州路三段188號4樓之3
拉菲爾人本診所,23700999,臺北市中正區館前路四十九號六樓
怡和診所,23625100,臺北市中正區汀州路二段二一二號
奕康耳鼻喉科診所,23212788,臺北市中正區連雲街72號2樓
慈恩診所,23812045,臺北市中正區中華路二段75巷1弄21號1樓
陽光心靈診所,02-23949295,臺北市中正區羅斯福路二段70號4樓之3
李世輝耳鼻喉科診所,23979639,臺北市中正區南昌路一段79號
大佳婦產科診所,23888686,臺北市中正區信陽街9號2樓
東京風采整形外科診所,02-23581738,臺北市中正區仁愛路二段48號7樓
健康101診所,02-23645143,臺北市中正區牯嶺街97號1樓
陳煥棠整形外科診所,,臺北市中正區仁愛路二段71號4樓之6
站前大學眼科診所,23752558,臺北市中正區忠孝西路一段72號2樓
美學院整形外科診所,02-23690100,臺北市中正區羅斯福路三段312號7樓
新生活診所,23515885,臺北市中正區新生南路一段140號2樓
風華整形外科診所,02-23886363,臺北市中正區忠孝西路一段6號2、3樓
新公園診所,02-23312714,臺北市中正區襄陽路3號3樓
好健康診所,23891690，23811896*12,臺北市中正區公園路30號11樓
碩田牙醫診所,23213866,臺北市中正區忠孝東路1段54號5樓之1
清川牙醫診所,23328653,臺北市中正區汀州路1段118號
橙品牙醫診所,,臺北市中正區仁愛路2段110號2樓
艾美牙醫診所,23581786,臺北市中正區南昌路1段71號(實際開業地址1樓、2樓)
富麗牙醫診所,23940123,臺北市中正區和平西路1段69號
林祥建牙醫診所,23693336,臺北市中正區羅斯福路二段136號7樓
德華牙醫診所,23704561,臺北市中正區重慶南路1段 110號
謝明吉口腔顎面外科牙醫診所,02-238886363,臺北市中正區忠孝西路1段6號2、3樓
雙子星牙醫診所,23822345,臺北市中正區館前路26號2樓
幸吉堂中醫診所,223095191,臺北市中正區汀州一段１６９號
強弘牙科診所,223677975,臺北市中正區汀州路二段８６號
快安牙醫診所,223943434,臺北市中正區羅斯福路二段７０號５樓之８
杏安牙醫診所,223687807,臺北市中正區金門街９之６號
展光牙醫診所,223671045,臺北市中正區羅斯福路３段５０號２樓之一
金山牙醫診所,223214735,臺北市中正區愛國東路６２號
佳仁牙醫診所,223025627,臺北市中正區中華路二段１６５之１號
名一牙醫診所,223880229,臺北市中正區漢口街一段８０巷６弄５號
蕭煥嘉牙醫診所,223911421,臺北市中正區新生南路一段１２８號
喜樂牙醫診所,223911944,臺北市中正區新生南路一段５０－１號２Ｆ
連生牙醫診所,02 23934651,臺北市中正區信義路二段１６１巷4號
四海牙醫診所,223214756,臺北市中正區連雲街８１號２Ｆ
鼎佳牙醫診所,223411642,臺北市中正區濟南路二段５８號２樓之1
明皓牙醫診所,223218521,臺北市中正區南昌路一段１２８號
