,54e0cc8e-6f30-43c2-aa6d-333ad38a10d1
？安西藥房雲林縣虎尾鎮公安路８２號,54e0c49b-7868-4126-85e2-3fe5d38a10d1
?昶股份有限公司新北市新店區寶中路92號10樓,54e0cc8f-c428-4a56-b6c1-333ad38a10d1
？萌股份有限公司北巿復興南路一段３６０號１０樓Ａ室,54e0c4a5-8cdc-4849-ac0d-3fe5d38a10d1
"(LICENCE HOLDER) TAKEDA PHARMA GMBH.VIKTORIAALLEE 3-5 D-52066 AACHEN GERMANY",54eed498-ad88-4351-a963-5091d38a10d1
"(P)RHONE-POULENC RORER PHARMA SPECIALITES (O)SPECIA,RHONE-POULENC RORER21,RUE JEAN-GOUJON 75360 PARIS CEDEX 0815 YUE DE LA VANNE 92120 MONTROUGE,FRANCE",54eed493-6540-434d-8a1f-5091d38a10d1
"(國外許可證持有者)CUBIST PHARMACEUTICALS, INC.65 HAYDEN AVENUE LEXINGTON, MA 02421",54eed499-ce8c-4882-b06c-5091d38a10d1
"3M COMPANY22164 RT. 84 NORTH, BLDG.3 AND 23, CORDOVA, IL 61242, U.S.A",54eed499-811c-4c0f-9170-5091d38a10d1
"3M Deutschland GmbHESPE PLATZ D-82229 SEEFELD, GERMANY",54eed498-97c0-4084-8cd1-5091d38a10d1
"3M HEALTH CAREST. PAUL, 55144-1000, USA",54eed499-fa40-4e90-bc3a-5091d38a10d1
"3M HEALTH CARE LIMITEDDERBY ROAD LOUGHBOROUGH LEICESTERSHIRE U.K. LE11 5SF",54eed499-fd88-480e-a18f-5091d38a10d1
"3M HEALTH CARE LTD.DERBY ROAD LOUGHBORUGH LEICESTERSHIRE U.K. LE11 5SF",54eed498-bfc8-4ca3-a877-5091d38a10d1
"3M PHARMACEUTICALSSTREET ADDRESS：19901 NORDHOFF STREET NORTHRIDGE, CA 91328-1001 U.S.A.。POSTAL ADDRESS：NORTHRIDGE, CA 91328 U.S.A",54eed498-181c-4fc8-92e0-5091d38a10d1
"3M PHARMACEUTICALS PTY LTDTHORNLEIGN, N.S.W. 2120 9-15 CHILVERS ROAD SYDNEY",54eed493-05d8-40b8-a919-5091d38a10d1
"5N PLUS LUBECK GMBHKANINCHENBORN 24-28, D-23560 LUBECK GERMANY",54eed49a-1dec-4067-b1ed-5091d38a10d1
"A H COX & COMPANY LTD177-179 BILTON RD. PERIVALE GREENFORD MIDDLESEX UB6 7HGWHIDDON VALLEY, BARNSTAPLE, DEVON, UNITED KINGDOM, EX32 8NS",54eed489-7114-46d1-a8a0-5091d38a10d1
